STATUS;FROM;TO
OK;16120;16140
OK;16160;16180
OK;16200;16220
KO;16140;16160
OK;16180;16200
OK;16240;16260
OK;16220;16240
OK;16260;16280
OK;16320;16340
OK;16300;16320
KO;16280;16300
OK;16360;16380
OK;16340;16360
KO;16380;16400
OK;16460;16480
OK;16400;16420
OK;16480;16500
OK;16420;16440
OK;16440;16460
OK;16500;16520
KO;16520;16540
OK;16580;16600
OK;16560;16580
OK;16600;16620
OK;16540;16560
OK;16660;16680
OK;16620;16640
OK;16640;16660
OK;16720;16740
OK;16680;16700
OK;16700;16720
OK;16760;16780
OK;16740;16760
OK;16800;16820
OK;16820;16840
OK;16780;16800
OK;16840;16860
OK;16860;16880
OK;16880;16900
OK;16960;16980
OK;16900;16920
OK;16980;17000
OK;16940;16960
OK;16920;16940
OK;17040;17060
OK;17000;17020
OK;17060;17080
OK;17100;17120
OK;17080;17100
OK;17160;17180
OK;17120;17140
OK;17020;17040
OK;17200;17220
OK;17240;17260
OK;17260;17280
OK;17180;17200
OK;17220;17240
OK;17140;17160
OK;17320;17340
OK;17280;17300
OK;17360;17380
OK;17340;17360
OK;17380;17400
OK;17400;17420
OK;17420;17440
OK;17440;17460
OK;17460;17480
OK;17480;17500
OK;17300;17320
OK;17520;17540
OK;17500;17520
OK;17560;17580
OK;17600;17620
OK;17540;17560
OK;17580;17600
OK;17620;17640
OK;17640;17660
OK;17660;17680
OK;17680;17700
OK;17740;17760
OK;17760;17780
OK;17720;17740
OK;17860;17880
OK;17800;17820
OK;17780;17800
OK;17700;17720
OK;17820;17840
OK;17840;17860
OK;17900;17920
OK;17940;17960
OK;17960;17980
OK;17920;17940
OK;17980;18000
OK;17880;17900
OK;12000;12020
OK;12020;12040
OK;12040;12060
OK;12080;12100
OK;12060;12080
OK;12140;12160
OK;12120;12140
OK;12100;12120
OK;12200;12220
OK;12180;12200
OK;12220;12240
OK;12160;12180
OK;12260;12280
OK;12320;12340
OK;12300;12320
OK;12280;12300
OK;12240;12260
OK;12340;12360
OK;12380;12400
OK;12420;12440
OK;12440;12460
OK;12460;12480
OK;12400;12420
OK;12540;12560
OK;12500;12520
OK;12520;12540
OK;12360;12380
OK;12600;12620
OK;12560;12580
OK;12480;12500
OK;12620;12640
OK;12660;12680
OK;12640;12660
OK;12700;12720
OK;12680;12700
OK;12580;12600
OK;12720;12740
OK;12740;12760
OK;12760;12780
OK;12840;12860
OK;12820;12840
OK;12780;12800
OK;12860;12880
OK;12900;12920
OK;12800;12820
OK;12920;12940
OK;12880;12900
OK;12980;13000
OK;12960;12980
OK;12940;12960
OK;18000;18020
OK;18020;18040
OK;18060;18080
OK;18120;18140
OK;18040;18060
OK;18080;18100
OK;18100;18120
OK;18140;18160
OK;18160;18180
OK;18220;18240
OK;18200;18220
OK;18180;18200
OK;18280;18300
OK;18260;18280
OK;18300;18320
OK;18340;18360
OK;18360;18380
OK;18240;18260
OK;18400;18420
OK;18480;18500
OK;18460;18480
OK;18440;18460
OK;18500;18520
OK;18520;18540
OK;18420;18440
OK;18580;18600
OK;18560;18580
OK;18540;18560
OK;18640;18660
